title,description,category,published_at,sentiment_score,label,category_encoded,title_length,description_length,hour,day_of_week
Goldman Sachs takes $900mn hit on Northvolt investment - Financial Times,US bank is second-largest shareholder in Swedish battery maker which filed for Chapter 11 bankruptcy this week,business,2024-11-23 15:19:47+00:00,0.0,1,0,72,110,15,5
These key 401(k) plan changes are coming in 2025. Here's what savers need to know - CNBC,"Starting in 2025, key 401(k) plan changes enacted via Secure 2.0 could make saving for retirement easier. Here's what investors need to know.",business,2024-11-23 14:00:01+00:00,0.13333333333333333,2,0,88,141,14,5
Bitcoin 'wild' odds see 85% chance of BTC price above $100K by New Year - Cointelegraph,"Bitcoin prediction markets still see $100,000 hitting by New Year despite mounting BTC price selling pressure.",business,2024-11-23 13:43:48+00:00,0.13636363636363635,2,0,87,110,13,5
"Financial Crime Weekly: UPS Pays $45M Fine, BIT Mining Pays $4M Fine For Bribery - Benzinga",UPS pays a $45 million fine for misrepresenting its earnings and BIT Mining pays a $4 million fine for bribery of foreign officials.,business,2024-11-23 13:00:43+00:00,0.23611111111111113,2,0,91,132,13,5
7 Best Black Friday iPad Deals for 2024 - MacRumors,"We're less than one week away from Black Friday on November 29, and Best Buy and Amazon currently have all-time low prices across Apple's...",technology,2024-11-23 21:44:00+00:00,0.13333333333333336,2,3,51,140,21,5
"At The Exact Same Time, The Garmin Forerunner 55 And 255 Have Crashed to Record Low Prices - Gizmodo","The Forerunner 55 is better suited for casual athletes, while the Forerunner 255 is a top choice for regular enthusiasts.",technology,2024-11-23 21:39:52+00:00,0.125,2,3,100,121,21,5
"OpenAI Is Reportedly In Talks With Samsung To Bring Its AI Capabilities To Galaxy Devices, Posing A Major Challenge To Google - Wccftech","OpenAI is reportedly partnering up with Samsung to bring its AI capabilities to Samsung-made devices, posing challenge to Google",technology,2024-11-23 20:43:00+00:00,0.0,1,3,136,128,20,5
"Xbox Game Pass Users Warned to ""Beware"" of Huge New Day One Game - ComicBook.com",Xbox Game Pass subscribers across Xbox Series X and PC have been warned that a huge new day one game has some serious issues.,technology,2024-11-23 20:31:33+00:00,-0.11939393939393941,0,3,80,125,20,5
Level Up Your Gaming With These Early Nintendo Switch Black Friday Deals - PCMag,"Black Friday is bringing big discounts on Nintendo Switch consoles, games, and gear. Now’s the perfect time to grab some early deals and power up your playtime.",technology,2024-11-23 20:30:57+00:00,0.23333333333333334,2,3,80,160,20,5
Galaxy Watch 7 Thinks It's Slick at $40 - Droid Life,"For those of you who ended up skipping the “early” Black Friday deals, you made a wise decision if you were eyeing a device like Samsung’s Galaxy Watch 7. For this weekend, you can grab one for as little as $40. Not a typo there – this $300 watch is down to j…",technology,2024-11-23 19:30:43+00:00,0.05805555555555555,1,3,52,260,19,5
"Robotic shorts could help people walk farther. Yes, robotic shorts. - The Washington Post",The shorts were designed to be worn over everyday clothes.,technology,2024-11-23 19:30:25+00:00,-0.2,0,3,89,58,19,5
"All Of Sony’s PlayStation 5 Models, Including The ‘Pro’ Version, Are Discounted By Up To 25 Percent For Amazon Black Friday 2024 - Wccftech",Amazon Black Friday 2024 sale has all three of Sony’s PlayStation 5 consoles listed and has slashed their prices by up to 25 percent,technology,2024-11-23 19:20:00+00:00,-0.16666666666666666,0,3,139,132,19,5
"The new Mail app in iOS 18.2 is nice, but I disabled one of its main features - 9to5Mac","With iOS 18.2, Apple introduced an all new Mail app. It introduced mail categorization, a fresh coat of paint, contact...",technology,2024-11-23 18:56:00+00:00,0.21818181818181817,2,3,87,121,18,5
Apple Issues New Warning For Millions Of MacBook Users - Forbes,Apple confirms two macOS vulnerabilities and the need to take immediate action to protect yourselves...,technology,2024-11-23 17:24:36+00:00,0.1,1,3,63,103,17,5
"Am I dreaming?! Samsung's early Black Friday sale launches up to $650 OFF the Galaxy S24 Plus with a trade-in, or up to $275 without - Android Central",That's a seriously good deal.,technology,2024-11-23 17:14:30+00:00,0.7,2,3,150,29,17,5
The RTX 5090 uses Nvidia's biggest die since the RTX 2080 Ti - TechSpot,"Trusted leaker MEGAsizeGPU recently claimed that Nvidia's upcoming GB202 graphics processor, which will power the GeForce RTX 5090, uses a 24mm x 31mm die. If the report...",technology,2024-11-23 17:05:00+00:00,0.0,1,3,71,172,17,5
The Ultimate Gift Guide for Photographers in the 2024 Holiday Season - PetaPixel,"From must-have camera gear to unique accessories, our guide is filled with thoughtful suggestions for the photographer in your life.",technology,2024-11-23 17:01:43+00:00,0.39166666666666666,2,3,80,132,17,5
Massive Best Buy Black Friday sale live — here's the 35 deals I'm recommending to family and friends - Tom's Guide,The top Best Buy deals to kick start savings season,technology,2024-11-23 15:47:16+00:00,0.75,2,3,114,51,15,5
"This Lenovo Chromebook Is Only $149 For Black Friday, And it Can Replace Your $1,000 Old Laptop - Gizmodo","If you're using your laptop mainly for browsing the internet, this is the best deal you can get.",technology,2024-11-23 15:45:57+00:00,0.5833333333333334,2,3,105,96,15,5
The iMac M4 wasn’t built for this world - The Verge,"The M4 iMac is a beautiful object and a good computer, and it’s still the only Mac that comes in actual colors. But otherwise, it’s the same machine as it was in 2023, and it’s substantially the same as it was back in 2021. So who is the M4 iMac for, exactly?",technology,2024-11-23 15:15:00+00:00,0.22499999999999998,2,3,51,259,15,5
[Removed],[Removed],technology,2024-11-23 14:33:59+00:00,0.0,1,3,9,9,14,5
"World Of Warcraft At 20 Is The Same And Increasingly Unrecognizable, And That's By Design - GameSpot","Blizzard looks back on two decades of its genre-defining MMORPG, and talks how it's already planning for the next 20 years.",technology,2024-11-23 14:00:00+00:00,0.0,1,3,100,123,14,5
"What’s on your desk, Kylie Robison? - The Verge",The Verge’s senior reporter covering artificial intelligence (AI) has a workspace decorated with family photos and gaming figures.,technology,2024-11-23 14:00:00+00:00,-0.6,0,3,47,130,14,5
Uranus mystery finally solved almost 40 years after flyby from Voyager 2 spacecraft - Earth.com,"Decades-old data from NASA's Voyager 2 has reignited interest in Uranus, revealing new insights that challenge past understandings.",science,2024-11-24 00:05:26+00:00,-0.05681818181818182,1,2,95,131,0,6
Physicists Found an Entirely New Way of Measuring Time - ScienceAlert,Determining the passage of time in our world of ticking clocks and oscillating pendulums is a simple case of counting the seconds between 'then' and 'now'.,science,2024-11-23 23:30:23+00:00,0.0,1,2,69,155,23,5
Psyche Mission: What Will NASA Do With a $10 Quintillion Asteroid? - The Daily Galaxy --Great Discoveries Channel,"NASA’s Psyche Mission, launched on October 13, 2023, is on its way to explore 16 Psyche, a massive metallic asteroid valued at an astonishing $10",science,2024-11-23 23:15:34+00:00,0.25,2,2,113,145,23,5
"Magnetic North Pole is moving and changing faster than ever, surprising scientists - Earth.com",Discover how the magnetic North Pole's rapid shift toward Russia impacts navigation and reveals Earth's dynamic core.,science,2024-11-23 22:16:14+00:00,0.0,1,2,94,117,22,5
Scientists Say They've Discovered the Shape of Individual Photons - Futurism,We now have a new idea of what photons look like from a model that predicts how these particles of light interact with their environment.,science,2024-11-23 17:30:14+00:00,0.2681818181818182,2,2,76,137,17,5
Earth Has Tilted 31.5 Inches. That Shouldn't Happen. - Yahoo! Voices,"In less than two decades, Earth has tilted 31.5 inches. That shouldn't happen. So why did it?",science,2024-11-23 16:45:00+00:00,-0.16666666666666666,0,2,68,93,16,5
Extending classical black hole inequalities into the quantum realm - Phys.org,"A recent study in Physical Review Letters explores quantum effects on black hole thermodynamics and geometry, focusing on extending two classical inequalities into the quantum regime.",science,2024-11-23 15:50:01+00:00,-0.041666666666666664,1,2,77,183,15,5
A Nearby Supernova Could Finally Solve the Dark Matter Puzzle - SciTechDaily,"Researchers believe that observing gamma rays from a supernova could confirm the existence of axions, potentially solving the mystery of dark matter. UC Berkeley scientists suggest that the detection of these particles would revolutionize our understanding of…",science,2024-11-23 15:03:50+00:00,-0.075,1,2,76,260,15,5
"I spent 10 years and $800,000 renovating an Arkansas missile silo. It's my greatest accomplishment, but I don't recommend others try it. - Business Insider",Former Air Force mechanic and tech professional GT Hill converted a 1980s missile silo into an Airbnb.,science,2024-11-23 14:28:00+00:00,0.05,1,2,155,102,14,5
"Saturday Citations: Sweaty, remarkable humans; ocean level rise projections; closeup of a star in another galaxy - Phys.org","Since we last spoke, researchers at the University of Birmingham have defined the precise shape of a single photon (spoiler: roundish). Economists worry that Trump's grandiose deportation plans could lead to a recession. And astronomers report that the Milky …",science,2024-11-23 14:00:01+00:00,0.10952380952380954,2,2,123,260,14,5
Black hole quiz: How supermassive is your knowledge of the universe? - Livescience.com,Black holes have captivated scientists for more than a century. How well do you know these supermassive wonders of the universe?,science,2024-11-23 14:00:00+00:00,0.16666666666666669,2,2,86,128,14,5
Mysterious White Smokers Discovered in the Dead Sea - SciTechDaily,"Mineral chimneys found on the Dead Sea floor signal potential sinkhole sites, aiding in hazard prediction and environmental monitoring. A team of researchers led by the Helmholtz Centre for Environmental Research (UFZ) has discovered meter-high chimneys on th…",science,2024-11-23 13:43:59+00:00,-0.1,1,2,66,260,13,5
"Being a Couch Potato Is Bad for Your Memory, Study Warns - Gizmodo",A new meta-analysis by researchers in Finland finds that athletes tend to have better working memory than others.,science,2024-11-23 13:01:04+00:00,0.3181818181818182,2,2,66,113,13,5
Green spoonworm: The female tentacle monsters that turn males into 'living testicles' - Livescience.com,"This bright green sea creature contains a toxic pigment that protects it from predators, kills bacteria and determines the sex of larvae, turning males into a ""living testacle.""",science,2024-11-23 13:00:00+00:00,0.25,2,2,103,177,13,5
Rare Asteroid Sample Contaminated by Microorganisms Despite Scientists’ Best Efforts - Gizmodo,"A chunk of rock collected from the asteroid Ryugu contains bacteria—but, unfortunately, it's not evidence of alien life.",science,2024-11-23 12:00:30+00:00,0.0,1,2,94,120,12,5
DNA From the Jungle Floor Reveals Mating Mysteries of Endangered Muriquis - SciTechDaily,"Researchers exploring the mating behaviors of Brazil's endangered northern muriquis have utilized fecal DNA analysis to uncover how these primates choose their partners, revealing a preference for mates with diverse immune system genes. This study contributes…",science,2024-11-23 11:41:54+00:00,0.0,1,2,88,260,11,5
"Youngest planet ever discovered has misaligned orbit, puzzles scientists - Yahoo! Voices",A newly discovered baby exoplanet called IRAS 04125+2902 b is challenging our current understanding of planet formation.,science,2024-11-23 11:31:51+00:00,0.21212121212121213,2,2,88,120,11,5
Is There a Limit to How Long Humans Can Survive in Space? - Gizmodo,"The human body was not made for space, but we keep trying to go there anyway.",science,2024-11-23 11:00:37+00:00,0.0,1,2,67,77,11,5
Why The Andromeda Galaxy Is 100 Years Old Today — And How To See It - Forbes,"Edwin Hubble's revelation in 1924 that the Andromeda Nebula was, in fact, an 'island universe,' was a pivotal moment in our understanding of the cosmos.",science,2024-11-23 11:00:00+00:00,0.5,2,2,76,152,11,5
Scientists Uncover Potential Key to Keeping Your Brain Healthy: Midlife Recycling - SciTechDaily,"Mitophagy dynamics change with age, particularly during midlife, influencing brain health and aging. These findings offer insights for developing therapies for neurodegenerative diseases. The mitochondria, often referred to as the powerhouses of our cells, pl…",science,2024-11-23 10:38:31+00:00,0.16666666666666666,2,2,96,260,10,5
[Removed],[Removed],health,2024-11-24 01:04:00+00:00,0.0,1,1,9,9,1,6
Canton police warn of scam - KELOLAND.com,"SIOUX FALLS, S.D. (KELO) — Canton police are warning citizens of a scam going around. According to a post on Facebook, a scammer in Canton posing as a local rental manager and reaching out to prospective homeowners. This scammer offers rental services on legi…",health,2024-11-23 22:13:50+00:00,0.05,1,1,41,260,22,5
Squirting 101: Everything You Need to Know About Female Ejaculation - Glass Almanac,"At last, the wait is over, and it’s a topic that has kept many of us up at night. Dr. Samuel Salama, along with his colleague ... Continue Reading →",health,2024-11-23 21:45:50+00:00,0.25,2,1,83,148,21,5
Alcohol use increased during the Covid-19 pandemic. A new study shows that it’s still high - CNN,"A surge of stress-related drinking and alcohol-related deaths brought on by the Covid-19 pandemic in the US has not tapered off the way Dr. Brian Lee, a transplant hepatologist at the University of Southern California’s Keck School of Medicine, had hoped.",health,2024-11-23 20:00:00+00:00,0.0,1,1,96,255,20,5
Alcohol Use Predicts Escalating Cannabis Vaping Among Youth - Neuroscience News,"A recent study highlights alcohol as the strongest predictor of cannabis vaping initiation and experimentation among youth and young adults, regardless of demographic factors.",health,2024-11-23 19:06:50+00:00,0.05,1,1,79,175,19,5
Our “Reptilian” Brain Areas’ Role in Emotion and Social Skills - Neuroscience News,"A new study uncovers constant communication between the human brain's social cognitive network, responsible for understanding others' thoughts, and the amygdala, known for processing fear and emotions.",health,2024-11-23 18:46:38+00:00,0.07393939393939394,1,1,82,201,18,5
"Even with access to blockbuster obesity drugs, some people don't lose weight - KSL.com",Why don't weight-loss drugs work for some people? There are many factors.,health,2024-11-23 15:55:22+00:00,0.5,2,1,86,73,15,5
CDC confirms first child in United States infected with bird flu - UPI News,"UPI delivers the latest headlines from around the world: Top News, Entertainment, Health, Business, Science and Sports News - United Press International",health,2024-11-23 15:39:55+00:00,0.3333333333333333,2,1,75,152,15,5
"COVID-19 lockdowns linked to accelerated brain aging in adolescents, particularly in girls - PsyPost","New research suggests pandemic lockdowns accelerated adolescent brain aging, with girls' brains aging 4.2 years and boys' 1.4 years. This may increase neuropsychiatric disorder risks, highlighting the need for ongoing mental health support for affected teens.",health,2024-11-23 15:10:11+00:00,0.018181818181818174,1,1,100,259,15,5
"Deadly Incurable Fungus Infects Thousands On The West Coast, Attacking Their Lungs - Wide Open Country",California and Arizona report an alarming increase in Valley Fever cases. This disease can lead to long-term lung problems and death.,health,2024-11-23 14:54:33+00:00,-0.1,1,1,102,133,14,5
Medical Mysteries: Her depression and poor memory had an unusual cause - The Washington Post,A woman’s hospitalization following a suicide attempt in 2018 led to the discovery of an undiscovered condition that had shaped her life for nearly 50 years.,health,2024-11-23 14:02:35+00:00,0.05,1,1,92,157,14,5
"Saturday Citations: Sweaty, remarkable humans; ocean level rise projections; closeup of a star in another galaxy - Phys.org","Since we last spoke, researchers at the University of Birmingham have defined the precise shape of a single photon (spoiler: roundish). Economists worry that Trump's grandiose deportation plans could lead to a recession. And astronomers report that the Milky …",health,2024-11-23 14:00:01+00:00,0.10952380952380954,2,1,123,260,14,5
Eat Too Much Sugar Last Night? Here's What Dietitians Recommend You Do Today - Yahoo Life,No drastic measures necessary!,health,2024-11-23 12:00:00+00:00,0.0,1,1,89,30,12,5
"Weight loss drug users suddenly find themselves wasting more food, study says - WTOP","One in four people taking popular weight loss medications such as Ozempic, Wegovy and Mounjaro found themselves throwing more food in the trash after starting the drugs.",health,2024-11-23 10:19:16+00:00,0.275,2,1,84,169,10,5
Parkinson’s: Why This 62-Year-Old’s Early Signs Were Overlooked - Healthline,"Veronica Brown lived with chronic fatigue, depression, and anxiety for over 10 years before she learned they were early signs of Parkinson's disease. Here's how she found relief after diagnosis.",health,2024-11-23 09:28:27+00:00,0.1,1,1,76,194,9,5
7 Things Doctors Wish Older Adults Would Do Daily - HuffPost,Physicians reveal the crucial habits that will easily improve your longevity — and it's never too late to start.,health,2024-11-23 08:00:03+00:00,0.04444444444444445,1,1,60,112,8,5
Longevity: Daily walks could add years to your life - Medical News Today,"Every additional hour of walking per day could add up to 6 hours to a person's life, a recent study suggests, emphasizing the importance of staying active.",health,2024-11-23 06:07:54+00:00,-0.06666666666666667,1,1,72,155,6,5
County health officials say negative test result doesn’t clear caterer in E. coli outbreak - Food Safety News,"State test results of lettuce thought to be linked to an outbreak of E. Coli infections in St. Louis County have come back negative, but officials say a",health,2024-11-23 05:07:45+00:00,-0.15,0,1,109,152,5,5
"Montana poultry flock diagnosed with avian flu, euthanized - NBC Montana",A Montana woman took to Facebook to report her poultry flock came down with avian influenza.Christy Cummings says state veterinarians made the diagnosis earlier,health,2024-11-23 02:56:16+00:00,-0.07777777777777778,1,1,72,160,2,5
